combos,fills,contracts,mean_vwap,mean_settlement,full_yes_settlement_rate,any_positive_settlement_rate,equal_combo_net_per_contract,volume_weighted_net_per_contract,p05_net_per_contract,median_net_per_contract,p95_net_per_contract,worst_net_per_contract,scope,price_bucket_low_cents,price_bucket_high_cents
859,1092,515680.70000000007,0.07690480217016922,0.06286379511059371,0.06286379511059371,0.06286379511059371,0.009086158516915988,-0.08785037961020103,-0.9110675807491331,0.07014375,0.09086863,-0.95145072,same_game,5,10
1134,1539,415496.23,0.12551914633535272,0.11126984126984127,0.11022927689594356,0.1128747795414462,0.006580180093970833,-0.09497939048040867,-0.88265625,0.11544903,0.13727212,-0.9063,same_game,10,15
1079,1522,224715.75999999998,0.17492794525866537,0.16668211306765526,0.16218721037998146,0.17145505097312327,-0.0018417314155565773,-0.0026197964297128167,-0.8436910799999999,0.16012300000000002,0.18576298938105903,-0.8589249999999999,same_game,15,20
1048,1589,306460.84,0.2239256929860488,0.23168893129770993,0.22900763358778625,0.23473282442748092,-0.019913242135680267,-0.05514596916258338,-0.7996939200000001,0.20414592,0.23205175,-0.8112000000000001,same_game,20,25
920,1572,247967.95,0.2737716748362765,0.2758260869565217,0.2728260869565217,0.2782608695652174,-0.015956831071997562,0.09274298082326002,-0.7554488225,0.251235707233239,0.2821720537337074,-0.763125,same_game,25,30
821,1360,174601.12,0.32263738644069145,0.309768574908648,0.30694275274056027,0.3118148599269184,-0.002414066300606045,0.08916328045553659,-0.70691952,0.29600047,0.32918175,-0.7147,same_game,30,35
641,1037,174572.81,0.37363709102296033,0.3695631825273011,0.3666146645865835,0.37285491419656785,-0.012293540264048232,0.01918005092886574,-0.65906857,0.34289167,0.37827175,-0.665925,same_game,35,40
537,968,134018.84,0.42434484605106737,0.3818994413407821,0.3780260707635009,0.3854748603351955,0.025361369858699228,0.1055763185317557,-0.61088148,0.39109247999999996,0.4279817148995775,-0.6168,same_game,40,45
484,925,139326.59,0.4727404059188559,0.46239669421487606,0.45867768595041325,0.46487603305785125,-0.007089820436610572,0.21012804416325198,-0.56235825,0.43508066214443775,0.47650252,-0.5673250000000001,same_game,45,50
321,537,103375.33,0.521380317173602,0.4719003115264798,0.46417445482866043,0.4766355140186916,0.032026330486747114,0.11074043902573369,-0.51449937,0.48350007,0.5216064699999999,-0.5175000000000001,same_game,50,55
197,445,78344.13,0.5733915193923483,0.6410152284263959,0.6345177664974619,0.6446700507614214,-0.08473222399885438,0.36213087101094105,-0.46329587999999994,-0.42929684281728114,0.5702322799999999,-0.46631793,same_game,55,60
139,536,71963.59,0.6246214889842456,0.6161151079136691,0.6115107913669064,0.6187050359712231,-0.007891068692103424,0.33164441673812695,-0.41380401829168306,-0.37816517,0.6259259751946903,-0.4168,same_game,60,65
89,417,65890.46,0.6745161232176821,0.7865168539325843,0.7865168539325843,0.7865168539325843,-0.12735410409819,0.2687373586866004,-0.35877457,-0.33318131999999995,0.67276897,-0.365925,same_game,65,70
62,287,81319.93999999999,0.723773129520688,0.7361290322580645,0.7258064516129032,0.7419354838709677,-0.02633397368647902,0.049893942824795465,-0.31356910200000004,-0.27863418,0.7149311425517241,-0.3147000000000001,same_game,70,75
53,123,32428.350000000002,0.7720817402368452,0.9056603773584906,0.9056603773584906,0.9056603773584906,-0.1458828793096122,0.46325197195774365,-0.261468804,-0.23616768,0.7569809500000001,-0.263125,same_game,75,80
